Number,Date,Time,Home Team,Away Team,Home Division,Away Division,Facility,Rink,Game Type,Note,,,,,,,,,,,,
7,26-May,4:30 PM,Iceaholics,Waisted Potential,Ottawa (Byward) - Sunday,Ottawa (Byward) - Sunday,Minto Sports Complex UOttawa,#2,Regular Season,Bye Week: Zamboners,,,,,,,,,,,,
8,26-May,5:30 PM,Rizzly Bears,Porch Boys,Ottawa (Byward) - Sunday,Ottawa (Byward) - Sunday,Minto Sports Complex UOttawa,#2,Regular Season,,,,,,,,,,,,,
9,26-May,7:00 PM,Metcalfe Welfare,Evander Kane's Bookies,Ottawa (Byward) - Sunday,Ottawa (Byward) - Sunday,Minto Sports Complex UOttawa,#1,Regular Season,,,,,,,,,,,,,
10,26-May,8:00 PM,Camel Toedrags,The Big Cojones,Ottawa (Byward) - Sunday,Ottawa (Byward) - Sunday,Minto Sports Complex UOttawa,#1,Regular Season,,,,,,,,,,,,,
11,26-May,9:00 PM,50 in 07,FERDA's,Ottawa (Byward) - Sunday,Ottawa (Byward) - Sunday,Minto Sports Complex UOttawa,#1,Regular Season,,,,,,,,,,,,,
12,26-May,10:00 PM,Mighty Drunks,Epsteins Islanders,Ottawa (Byward) - Sunday,Ottawa (Byward) - Sunday,Minto Sports Complex UOttawa,#1,Regular Season,,,,,,,,,,,,,
13,02-Jun,5:00 PM,Waisted Potential,Metcalfe Welfare,Ottawa (Byward) - Sunday,Ottawa (Byward) - Sunday,Minto Sports Complex UOttawa,#1,Regular Season,Bye Week: The Big Cojones,,,,,,,,,,,,
14,02-Jun,6:00 PM,FERDA's,Mighty Drunks,Ottawa (Byward) - Sunday,Ottawa (Byward) - Sunday,Minto Sports Complex UOttawa,#1,Regular Season,,,,,,,,,,,,,
15,02-Jun,7:00 PM,Epsteins Islanders,Camel Toedrags,Ottawa (Byward) - Sunday,Ottawa (Byward) - Sunday,Minto Sports Complex UOttawa,#1,Regular Season,,,,,,,,,,,,,
16,02-Jun,8:00 PM,Zamboners,50 in 07,Ottawa (Byward) - Sunday,Ottawa (Byward) - Sunday,Minto Sports Complex UOttawa,#1,Regular Season,,,,,,,,,,,,,
17,02-Jun,9:00 PM,Rizzly Bears,Iceaholics,Ottawa (Byward) - Sunday,Ottawa (Byward) - Sunday,Minto Sports Complex UOttawa,#1,Regular Season,,,,,,,,,,,,,
18,02-Jun,10:00 PM,Porch Boys,Evander Kane's Bookies,Ottawa (Byward) - Sunday,Ottawa (Byward) - Sunday,Minto Sports Complex UOttawa,#1,Regular Season,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
